Planning Area,Subzone,Age Group,Type of Dwelling,2024
Clementi,Sunset Way,Total,Total,5470
Clementi,Sunset Way,Total,Total HDB^,3060
Clementi,Sunset Way,Total,1- and 2-Room Flats*,-
Clementi,Sunset Way,Total,3-Room Flats,190
Clementi,Sunset Way,Total,4-Room Flats,1040
Clementi,Sunset Way,Total,5-Room and Executive Flats,1840
Clementi,Sunset Way,Total,Condominiums and Other Apartments,1490
Clementi,Sunset Way,Total,Landed Properties,900
Clementi,Sunset Way,Total,Others,20
Clementi,Sunset Way,0 - 4,Total,140
Clementi,Sunset Way,0 - 4,Total HDB^,70
Clementi,Sunset Way,0 - 4,1- and 2-Room Flats*,-
Clementi,Sunset Way,0 - 4,3-Room Flats,-
Clementi,Sunset Way,0 - 4,4-Room Flats,30
Clementi,Sunset Way,0 - 4,5-Room and Executive Flats,40
Clementi,Sunset Way,0 - 4,Condominiums and Other Apartments,40
Clementi,Sunset Way,0 - 4,Landed Properties,20
Clementi,Sunset Way,0 - 4,Others,-
Clementi,Sunset Way,5 - 9,Total,200
Clementi,Sunset Way,5 - 9,Total HDB^,100
Clementi,Sunset Way,5 - 9,1- and 2-Room Flats*,-
Clementi,Sunset Way,5 - 9,3-Room Flats,10
Clementi,Sunset Way,5 - 9,4-Room Flats,20
Clementi,Sunset Way,5 - 9,5-Room and Executive Flats,70
Clementi,Sunset Way,5 - 9,Condominiums and Other Apartments,60
Clementi,Sunset Way,5 - 9,Landed Properties,30
Clementi,Sunset Way,5 - 9,Others,-
Clementi,Sunset Way,10 - 14,Total,260
Clementi,Sunset Way,10 - 14,Total HDB^,130
Clementi,Sunset Way,10 - 14,1- and 2-Room Flats*,-
Clementi,Sunset Way,10 - 14,3-Room Flats,10
Clementi,Sunset Way,10 - 14,4-Room Flats,20
Clementi,Sunset Way,10 - 14,5-Room and Executive Flats,100
Clementi,Sunset Way,10 - 14,Condominiums and Other Apartments,80
Clementi,Sunset Way,10 - 14,Landed Properties,50
Clementi,Sunset Way,10 - 14,Others,-
Clementi,Sunset Way,15 - 19,Total,250
Clementi,Sunset Way,15 - 19,Total HDB^,130
Clementi,Sunset Way,15 - 19,1- and 2-Room Flats*,-
Clementi,Sunset Way,15 - 19,3-Room Flats,10
Clementi,Sunset Way,15 - 19,4-Room Flats,30
Clementi,Sunset Way,15 - 19,5-Room and Executive Flats,90
Clementi,Sunset Way,15 - 19,Condominiums and Other Apartments,80
Clementi,Sunset Way,15 - 19,Landed Properties,50
Clementi,Sunset Way,15 - 19,Others,-
Clementi,Sunset Way,20 - 24,Total,310
Clementi,Sunset Way,20 - 24,Total HDB^,160
Clementi,Sunset Way,20 - 24,1- and 2-Room Flats*,-
Clementi,Sunset Way,20 - 24,3-Room Flats,10
Clementi,Sunset Way,20 - 24,4-Room Flats,50
Clementi,Sunset Way,20 - 24,5-Room and Executive Flats,100
Clementi,Sunset Way,20 - 24,Condominiums and Other Apartments,90
Clementi,Sunset Way,20 - 24,Landed Properties,50
Clementi,Sunset Way,20 - 24,Others,-
Clementi,Sunset Way,25 - 29,Total,330
Clementi,Sunset Way,25 - 29,Total HDB^,180
Clementi,Sunset Way,25 - 29,1- and 2-Room Flats*,-
Clementi,Sunset Way,25 - 29,3-Room Flats,10
Clementi,Sunset Way,25 - 29,4-Room Flats,60
Clementi,Sunset Way,25 - 29,5-Room and Executive Flats,120
Clementi,Sunset Way,25 - 29,Condominiums and Other Apartments,80
Clementi,Sunset Way,25 - 29,Landed Properties,60
Clementi,Sunset Way,25 - 29,Others,-
Clementi,Sunset Way,30 - 34,Total,280
Clementi,Sunset Way,30 - 34,Total HDB^,160
Clementi,Sunset Way,30 - 34,1- and 2-Room Flats*,-
Clementi,Sunset Way,30 - 34,3-Room Flats,10
Clementi,Sunset Way,30 - 34,4-Room Flats,60
Clementi,Sunset Way,30 - 34,5-Room and Executive Flats,90
Clementi,Sunset Way,30 - 34,Condominiums and Other Apartments,70
Clementi,Sunset Way,30 - 34,Landed Properties,50
Clementi,Sunset Way,30 - 34,Others,-
Clementi,Sunset Way,35 - 39,Total,300
Clementi,Sunset Way,35 - 39,Total HDB^,180
Clementi,Sunset Way,35 - 39,1- and 2-Room Flats*,-
Clementi,Sunset Way,35 - 39,3-Room Flats,10
Clementi,Sunset Way,35 - 39,4-Room Flats,60
Clementi,Sunset Way,35 - 39,5-Room and Executive Flats,110
Clementi,Sunset Way,35 - 39,Condominiums and Other Apartments,80
Clementi,Sunset Way,35 - 39,Landed Properties,40
Clementi,Sunset Way,35 - 39,Others,-
Clementi,Sunset Way,40 - 44,Total,330
Clementi,Sunset Way,40 - 44,Total HDB^,220
Clementi,Sunset Way,40 - 44,1- and 2-Room Flats*,-
Clementi,Sunset Way,40 - 44,3-Room Flats,30
Clementi,Sunset Way,40 - 44,4-Room Flats,80
Clementi,Sunset Way,40 - 44,5-Room and Executive Flats,120
Clementi,Sunset Way,40 - 44,Condominiums and Other Apartments,70
Clementi,Sunset Way,40 - 44,Landed Properties,40
Clementi,Sunset Way,40 - 44,Others,-
Clementi,Sunset Way,45 - 49,Total,370
Clementi,Sunset Way,45 - 49,Total HDB^,200
Clementi,Sunset Way,45 - 49,1- and 2-Room Flats*,-
Clementi,Sunset Way,45 - 49,3-Room Flats,20
Clementi,Sunset Way,45 - 49,4-Room Flats,60
Clementi,Sunset Way,45 - 49,5-Room and Executive Flats,120
Clementi,Sunset Way,45 - 49,Condominiums and Other Apartments,120
Clementi,Sunset Way,45 - 49,Landed Properties,50
Clementi,Sunset Way,45 - 49,Others,-
Clementi,Sunset Way,50 - 54,Total,410
Clementi,Sunset Way,50 - 54,Total HDB^,230
Clementi,Sunset Way,50 - 54,1- and 2-Room Flats*,-
Clementi,Sunset Way,50 - 54,3-Room Flats,20
Clementi,Sunset Way,50 - 54,4-Room Flats,70
Clementi,Sunset Way,50 - 54,5-Room and Executive Flats,140
Clementi,Sunset Way,50 - 54,Condominiums and Other Apartments,120
Clementi,Sunset Way,50 - 54,Landed Properties,60
Clementi,Sunset Way,50 - 54,Others,-
Clementi,Sunset Way,55 - 59,Total,410
Clementi,Sunset Way,55 - 59,Total HDB^,210
Clementi,Sunset Way,55 - 59,1- and 2-Room Flats*,-
Clementi,Sunset Way,55 - 59,3-Room Flats,20
Clementi,Sunset Way,55 - 59,4-Room Flats,70
Clementi,Sunset Way,55 - 59,5-Room and Executive Flats,130
Clementi,Sunset Way,55 - 59,Condominiums and Other Apartments,130
Clementi,Sunset Way,55 - 59,Landed Properties,70
Clementi,Sunset Way,55 - 59,Others,-
Clementi,Sunset Way,60 - 64,Total,400
Clementi,Sunset Way,60 - 64,Total HDB^,200
Clementi,Sunset Way,60 - 64,1- and 2-Room Flats*,-
Clementi,Sunset Way,60 - 64,3-Room Flats,10
Clementi,Sunset Way,60 - 64,4-Room Flats,60
Clementi,Sunset Way,60 - 64,5-Room and Executive Flats,120
Clementi,Sunset Way,60 - 64,Condominiums and Other Apartments,140
Clementi,Sunset Way,60 - 64,Landed Properties,60
Clementi,Sunset Way,60 - 64,Others,-
Clementi,Sunset Way,65 - 69,Total,410
Clementi,Sunset Way,65 - 69,Total HDB^,240
Clementi,Sunset Way,65 - 69,1- and 2-Room Flats*,-
Clementi,Sunset Way,65 - 69,3-Room Flats,10
Clementi,Sunset Way,65 - 69,4-Room Flats,100
Clementi,Sunset Way,65 - 69,5-Room and Executive Flats,130
Clementi,Sunset Way,65 - 69,Condominiums and Other Apartments,100
Clementi,Sunset Way,65 - 69,Landed Properties,70
Clementi,Sunset Way,65 - 69,Others,-
Clementi,Sunset Way,70 - 74,Total,430
Clementi,Sunset Way,70 - 74,Total HDB^,280
Clementi,Sunset Way,70 - 74,1- and 2-Room Flats*,-
Clementi,Sunset Way,70 - 74,3-Room Flats,10
Clementi,Sunset Way,70 - 74,4-Room Flats,110
Clementi,Sunset Way,70 - 74,5-Room and Executive Flats,160
Clementi,Sunset Way,70 - 74,Condominiums and Other Apartments,90
Clementi,Sunset Way,70 - 74,Landed Properties,60
Clementi,Sunset Way,70 - 74,Others,-
Clementi,Sunset Way,75 - 79,Total,330
Clementi,Sunset Way,75 - 79,Total HDB^,190
Clementi,Sunset Way,75 - 79,1- and 2-Room Flats*,-
Clementi,Sunset Way,75 - 79,3-Room Flats,-
Clementi,Sunset Way,75 - 79,4-Room Flats,90
Clementi,Sunset Way,75 - 79,5-Room and Executive Flats,100
Clementi,Sunset Way,75 - 79,Condominiums and Other Apartments,90
Clementi,Sunset Way,75 - 79,Landed Properties,50
Clementi,Sunset Way,75 - 79,Others,-
Clementi,Sunset Way,80 - 84,Total,170
Clementi,Sunset Way,80 - 84,Total HDB^,110
Clementi,Sunset Way,80 - 84,1- and 2-Room Flats*,-
Clementi,Sunset Way,80 - 84,3-Room Flats,-
Clementi,Sunset Way,80 - 84,4-Room Flats,40
Clementi,Sunset Way,80 - 84,5-Room and Executive Flats,60
Clementi,Sunset Way,80 - 84,Condominiums and Other Apartments,30
Clementi,Sunset Way,80 - 84,Landed Properties,30
Clementi,Sunset Way,80 - 84,Others,-
Clementi,Sunset Way,85 - 89,Total,110
Clementi,Sunset Way,85 - 89,Total HDB^,70
Clementi,Sunset Way,85 - 89,1- and 2-Room Flats*,-
Clementi,Sunset Way,85 - 89,3-Room Flats,-
Clementi,Sunset Way,85 - 89,4-Room Flats,30
Clementi,Sunset Way,85 - 89,5-Room and Executive Flats,40
Clementi,Sunset Way,85 - 89,Condominiums and Other Apartments,20
Clementi,Sunset Way,85 - 89,Landed Properties,30
Clementi,Sunset Way,85 - 89,Others,-
Clementi,Sunset Way,90 & Over,Total,50
Clementi,Sunset Way,90 & Over,Total HDB^,20
Clementi,Sunset Way,90 & Over,1- and 2-Room Flats*,-
Clementi,Sunset Way,90 & Over,3-Room Flats,-
Clementi,Sunset Way,90 & Over,4-Room Flats,-
Clementi,Sunset Way,90 & Over,5-Room and Executive Flats,20
Clementi,Sunset Way,90 & Over,Condominiums and Other Apartments,10
Clementi,Sunset Way,90 & Over,Landed Properties,20
Clementi,Sunset Way,90 & Over,Others,-
Clementi,Toh Tuck,Total,Total,20
Clementi,Toh Tuck,Total,Total HDB^,-
Clementi,Toh Tuck,Total,1- and 2-Room Flats*,-
Clementi,Toh Tuck,Total,3-Room Flats,-
Clementi,Toh Tuck,Total,4-Room Flats,-
Clementi,Toh Tuck,Total,5-Room and Executive Flats,-
Clementi,Toh Tuck,Total,Condominiums and Other Apartments,-
Clementi,Toh Tuck,Total,Landed Properties,-
Clementi,Toh Tuck,Total,Others,-
Clementi,Toh Tuck,0 - 4,Total,-
Clementi,Toh Tuck,0 - 4,Total HDB^,-
Clementi,Toh Tuck,0 - 4,1- and 2-Room Flats*,-
Clementi,Toh Tuck,0 - 4,3-Room Flats,-
Clementi,Toh Tuck,0 - 4,4-Room Flats,-
Clementi,Toh Tuck,0 - 4,5-Room and Executive Flats,-
Clementi,Toh Tuck,0 - 4,Condominiums and Other Apartments,-
Clementi,Toh Tuck,0 - 4,Landed Properties,-
Clementi,Toh Tuck,0 - 4,Others,-
Clementi,Toh Tuck,5 - 9,Total,-
Clementi,Toh Tuck,5 - 9,Total HDB^,-
Clementi,Toh Tuck,5 - 9,1- and 2-Room Flats*,-
Clementi,Toh Tuck,5 - 9,3-Room Flats,-
Clementi,Toh Tuck,5 - 9,4-Room Flats,-
Clementi,Toh Tuck,5 - 9,5-Room and Executive Flats,-
Clementi,Toh Tuck,5 - 9,Condominiums and Other Apartments,-
Clementi,Toh Tuck,5 - 9,Landed Properties,-
Clementi,Toh Tuck,5 - 9,Others,-
Clementi,Toh Tuck,10 - 14,Total,-
Clementi,Toh Tuck,10 - 14,Total HDB^,-
Clementi,Toh Tuck,10 - 14,1- and 2-Room Flats*,-
Clementi,Toh Tuck,10 - 14,3-Room Flats,-
Clementi,Toh Tuck,10 - 14,4-Room Flats,-
Clementi,Toh Tuck,10 - 14,5-Room and Executive Flats,-
Clementi,Toh Tuck,10 - 14,Condominiums and Other Apartments,-
Clementi,Toh Tuck,10 - 14,Landed Properties,-
Clementi,Toh Tuck,10 - 14,Others,-
Clementi,Toh Tuck,15 - 19,Total,-
Clementi,Toh Tuck,15 - 19,Total HDB^,-
Clementi,Toh Tuck,15 - 19,1- and 2-Room Flats*,-
Clementi,Toh Tuck,15 - 19,3-Room Flats,-
Clementi,Toh Tuck,15 - 19,4-Room Flats,-
Clementi,Toh Tuck,15 - 19,5-Room and Executive Flats,-
Clementi,Toh Tuck,15 - 19,Condominiums and Other Apartments,-
Clementi,Toh Tuck,15 - 19,Landed Properties,-
Clementi,Toh Tuck,15 - 19,Others,-
Clementi,Toh Tuck,20 - 24,Total,-
Clementi,Toh Tuck,20 - 24,Total HDB^,-
Clementi,Toh Tuck,20 - 24,1- and 2-Room Flats*,-
Clementi,Toh Tuck,20 - 24,3-Room Flats,-
Clementi,Toh Tuck,20 - 24,4-Room Flats,-
Clementi,Toh Tuck,20 - 24,5-Room and Executive Flats,-
Clementi,Toh Tuck,20 - 24,Condominiums and Other Apartments,-
Clementi,Toh Tuck,20 - 24,Landed Properties,-
Clementi,Toh Tuck,20 - 24,Others,-
Clementi,Toh Tuck,25 - 29,Total,-
Clementi,Toh Tuck,25 - 29,Total HDB^,-
Clementi,Toh Tuck,25 - 29,1- and 2-Room Flats*,-
Clementi,Toh Tuck,25 - 29,3-Room Flats,-
Clementi,Toh Tuck,25 - 29,4-Room Flats,-
Clementi,Toh Tuck,25 - 29,5-Room and Executive Flats,-
Clementi,Toh Tuck,25 - 29,Condominiums and Other Apartments,-
Clementi,Toh Tuck,25 - 29,Landed Properties,-
Clementi,Toh Tuck,25 - 29,Others,-
Clementi,Toh Tuck,30 - 34,Total,-
Clementi,Toh Tuck,30 - 34,Total HDB^,-
Clementi,Toh Tuck,30 - 34,1- and 2-Room Flats*,-
Clementi,Toh Tuck,30 - 34,3-Room Flats,-
Clementi,Toh Tuck,30 - 34,4-Room Flats,-
Clementi,Toh Tuck,30 - 34,5-Room and Executive Flats,-
Clementi,Toh Tuck,30 - 34,Condominiums and Other Apartments,-
Clementi,Toh Tuck,30 - 34,Landed Properties,-
Clementi,Toh Tuck,30 - 34,Others,-
Clementi,Toh Tuck,35 - 39,Total,-
Clementi,Toh Tuck,35 - 39,Total HDB^,-
Clementi,Toh Tuck,35 - 39,1- and 2-Room Flats*,-
Clementi,Toh Tuck,35 - 39,3-Room Flats,-
Clementi,Toh Tuck,35 - 39,4-Room Flats,-
Clementi,Toh Tuck,35 - 39,5-Room and Executive Flats,-
Clementi,Toh Tuck,35 - 39,Condominiums and Other Apartments,-
Clementi,Toh Tuck,35 - 39,Landed Properties,-
Clementi,Toh Tuck,35 - 39,Others,-
Clementi,Toh Tuck,40 - 44,Total,-
Clementi,Toh Tuck,40 - 44,Total HDB^,-
Clementi,Toh Tuck,40 - 44,1- and 2-Room Flats*,-
Clementi,Toh Tuck,40 - 44,3-Room Flats,-
Clementi,Toh Tuck,40 - 44,4-Room Flats,-
Clementi,Toh Tuck,40 - 44,5-Room and Executive Flats,-
Clementi,Toh Tuck,40 - 44,Condominiums and Other Apartments,-
Clementi,Toh Tuck,40 - 44,Landed Properties,-
Clementi,Toh Tuck,40 - 44,Others,-
Clementi,Toh Tuck,45 - 49,Total,-
Clementi,Toh Tuck,45 - 49,Total HDB^,-
Clementi,Toh Tuck,45 - 49,1- and 2-Room Flats*,-
Clementi,Toh Tuck,45 - 49,3-Room Flats,-
Clementi,Toh Tuck,45 - 49,4-Room Flats,-
Clementi,Toh Tuck,45 - 49,5-Room and Executive Flats,-
Clementi,Toh Tuck,45 - 49,Condominiums and Other Apartments,-
Clementi,Toh Tuck,45 - 49,Landed Properties,-
Clementi,Toh Tuck,45 - 49,Others,-
Clementi,Toh Tuck,50 - 54,Total,-
Clementi,Toh Tuck,50 - 54,Total HDB^,-
Clementi,Toh Tuck,50 - 54,1- and 2-Room Flats*,-
Clementi,Toh Tuck,50 - 54,3-Room Flats,-
Clementi,Toh Tuck,50 - 54,4-Room Flats,-
Clementi,Toh Tuck,50 - 54,5-Room and Executive Flats,-
Clementi,Toh Tuck,50 - 54,Condominiums and Other Apartments,-
Clementi,Toh Tuck,50 - 54,Landed Properties,-
Clementi,Toh Tuck,50 - 54,Others,-
Clementi,Toh Tuck,55 - 59,Total,-
Clementi,Toh Tuck,55 - 59,Total HDB^,-
Clementi,Toh Tuck,55 - 59,1- and 2-Room Flats*,-
Clementi,Toh Tuck,55 - 59,3-Room Flats,-
Clementi,Toh Tuck,55 - 59,4-Room Flats,-
Clementi,Toh Tuck,55 - 59,5-Room and Executive Flats,-
Clementi,Toh Tuck,55 - 59,Condominiums and Other Apartments,-
Clementi,Toh Tuck,55 - 59,Landed Properties,-
Clementi,Toh Tuck,55 - 59,Others,-
Clementi,Toh Tuck,60 - 64,Total,-
Clementi,Toh Tuck,60 - 64,Total HDB^,-
Clementi,Toh Tuck,60 - 64,1- and 2-Room Flats*,-
Clementi,Toh Tuck,60 - 64,3-Room Flats,-
Clementi,Toh Tuck,60 - 64,4-Room Flats,-
Clementi,Toh Tuck,60 - 64,5-Room and Executive Flats,-
Clementi,Toh Tuck,60 - 64,Condominiums and Other Apartments,-
Clementi,Toh Tuck,60 - 64,Landed Properties,-
Clementi,Toh Tuck,60 - 64,Others,-
Clementi,Toh Tuck,65 - 69,Total,-
Clementi,Toh Tuck,65 - 69,Total HDB^,-
Clementi,Toh Tuck,65 - 69,1- and 2-Room Flats*,-
Clementi,Toh Tuck,65 - 69,3-Room Flats,-
Clementi,Toh Tuck,65 - 69,4-Room Flats,-
Clementi,Toh Tuck,65 - 69,5-Room and Executive Flats,-
Clementi,Toh Tuck,65 - 69,Condominiums and Other Apartments,-
Clementi,Toh Tuck,65 - 69,Landed Properties,-
Clementi,Toh Tuck,65 - 69,Others,-
Clementi,Toh Tuck,70 - 74,Total,-
Clementi,Toh Tuck,70 - 74,Total HDB^,-
Clementi,Toh Tuck,70 - 74,1- and 2-Room Flats*,-
Clementi,Toh Tuck,70 - 74,3-Room Flats,-
Clementi,Toh Tuck,70 - 74,4-Room Flats,-
Clementi,Toh Tuck,70 - 74,5-Room and Executive Flats,-
Clementi,Toh Tuck,70 - 74,Condominiums and Other Apartments,-
Clementi,Toh Tuck,70 - 74,Landed Properties,-
Clementi,Toh Tuck,70 - 74,Others,-
Clementi,Toh Tuck,75 - 79,Total,-
Clementi,Toh Tuck,75 - 79,Total HDB^,-
Clementi,Toh Tuck,75 - 79,1- and 2-Room Flats*,-
Clementi,Toh Tuck,75 - 79,3-Room Flats,-
Clementi,Toh Tuck,75 - 79,4-Room Flats,-
Clementi,Toh Tuck,75 - 79,5-Room and Executive Flats,-
Clementi,Toh Tuck,75 - 79,Condominiums and Other Apartments,-
Clementi,Toh Tuck,75 - 79,Landed Properties,-
Clementi,Toh Tuck,75 - 79,Others,-
Clementi,Toh Tuck,80 - 84,Total,-
Clementi,Toh Tuck,80 - 84,Total HDB^,-
Clementi,Toh Tuck,80 - 84,1- and 2-Room Flats*,-
Clementi,Toh Tuck,80 - 84,3-Room Flats,-
Clementi,Toh Tuck,80 - 84,4-Room Flats,-
Clementi,Toh Tuck,80 - 84,5-Room and Executive Flats,-
Clementi,Toh Tuck,80 - 84,Condominiums and Other Apartments,-
Clementi,Toh Tuck,80 - 84,Landed Properties,-
Clementi,Toh Tuck,80 - 84,Others,-
Clementi,Toh Tuck,85 - 89,Total,-
Clementi,Toh Tuck,85 - 89,Total HDB^,-
Clementi,Toh Tuck,85 - 89,1- and 2-Room Flats*,-
Clementi,Toh Tuck,85 - 89,3-Room Flats,-
Clementi,Toh Tuck,85 - 89,4-Room Flats,-
Clementi,Toh Tuck,85 - 89,5-Room and Executive Flats,-
Clementi,Toh Tuck,85 - 89,Condominiums and Other Apartments,-
Clementi,Toh Tuck,85 - 89,Landed Properties,-
Clementi,Toh Tuck,85 - 89,Others,-
Clementi,Toh Tuck,90 & Over,Total,-
Clementi,Toh Tuck,90 & Over,Total HDB^,-
Clementi,Toh Tuck,90 & Over,1- and 2-Room Flats*,-
Clementi,Toh Tuck,90 & Over,3-Room Flats,-
Clementi,Toh Tuck,90 & Over,4-Room Flats,-
Clementi,Toh Tuck,90 & Over,5-Room and Executive Flats,-
Clementi,Toh Tuck,90 & Over,Condominiums and Other Apartments,-
Clementi,Toh Tuck,90 & Over,Landed Properties,-
Clementi,Toh Tuck,90 & Over,Others,-
Clementi,West Coast,Total,Total,10120
Clementi,West Coast,Total,Total HDB^,-
Clementi,West Coast,Total,1- and 2-Room Flats*,-
Clementi,West Coast,Total,3-Room Flats,-
Clementi,West Coast,Total,4-Room Flats,-
Clementi,West Coast,Total,5-Room and Executive Flats,-
Clementi,West Coast,Total,Condominiums and Other Apartments,8380
Clementi,West Coast,Total,Landed Properties,1740
Clementi,West Coast,Total,Others,-
Clementi,West Coast,0 - 4,Total,470
Clementi,West Coast,0 - 4,Total HDB^,-
Clementi,West Coast,0 - 4,1- and 2-Room Flats*,-
Clementi,West Coast,0 - 4,3-Room Flats,-
Clementi,West Coast,0 - 4,4-Room Flats,-
Clementi,West Coast,0 - 4,5-Room and Executive Flats,-
Clementi,West Coast,0 - 4,Condominiums and Other Apartments,410
Clementi,West Coast,0 - 4,Landed Properties,60
Clementi,West Coast,0 - 4,Others,-
Clementi,West Coast,5 - 9,Total,730
Clementi,West Coast,5 - 9,Total HDB^,-
Clementi,West Coast,5 - 9,1- and 2-Room Flats*,-
Clementi,West Coast,5 - 9,3-Room Flats,-
Clementi,West Coast,5 - 9,4-Room Flats,-
Clementi,West Coast,5 - 9,5-Room and Executive Flats,-
Clementi,West Coast,5 - 9,Condominiums and Other Apartments,660
Clementi,West Coast,5 - 9,Landed Properties,80
Clementi,West Coast,5 - 9,Others,-
Clementi,West Coast,10 - 14,Total,800
Clementi,West Coast,10 - 14,Total HDB^,-
Clementi,West Coast,10 - 14,1- and 2-Room Flats*,-
Clementi,West Coast,10 - 14,3-Room Flats,-
Clementi,West Coast,10 - 14,4-Room Flats,-
Clementi,West Coast,10 - 14,5-Room and Executive Flats,-
Clementi,West Coast,10 - 14,Condominiums and Other Apartments,710
Clementi,West Coast,10 - 14,Landed Properties,90
Clementi,West Coast,10 - 14,Others,-
Clementi,West Coast,15 - 19,Total,760
Clementi,West Coast,15 - 19,Total HDB^,-
Clementi,West Coast,15 - 19,1- and 2-Room Flats*,-
Clementi,West Coast,15 - 19,3-Room Flats,-
Clementi,West Coast,15 - 19,4-Room Flats,-
Clementi,West Coast,15 - 19,5-Room and Executive Flats,-
Clementi,West Coast,15 - 19,Condominiums and Other Apartments,650
Clementi,West Coast,15 - 19,Landed Properties,110
Clementi,West Coast,15 - 19,Others,-
Clementi,West Coast,20 - 24,Total,520
Clementi,West Coast,20 - 24,Total HDB^,-
Clementi,West Coast,20 - 24,1- and 2-Room Flats*,-
Clementi,West Coast,20 - 24,3-Room Flats,-
Clementi,West Coast,20 - 24,4-Room Flats,-
Clementi,West Coast,20 - 24,5-Room and Executive Flats,-
Clementi,West Coast,20 - 24,Condominiums and Other Apartments,450
Clementi,West Coast,20 - 24,Landed Properties,70
Clementi,West Coast,20 - 24,Others,-
Clementi,West Coast,25 - 29,Total,450
Clementi,West Coast,25 - 29,Total HDB^,-
Clementi,West Coast,25 - 29,1- and 2-Room Flats*,-
Clementi,West Coast,25 - 29,3-Room Flats,-
Clementi,West Coast,25 - 29,4-Room Flats,-
Clementi,West Coast,25 - 29,5-Room and Executive Flats,-
Clementi,West Coast,25 - 29,Condominiums and Other Apartments,360
Clementi,West Coast,25 - 29,Landed Properties,90
Clementi,West Coast,25 - 29,Others,-
Clementi,West Coast,30 - 34,Total,590
Clementi,West Coast,30 - 34,Total HDB^,-
Clementi,West Coast,30 - 34,1- and 2-Room Flats*,-
Clementi,West Coast,30 - 34,3-Room Flats,-
Clementi,West Coast,30 - 34,4-Room Flats,-
Clementi,West Coast,30 - 34,5-Room and Executive Flats,-
Clementi,West Coast,30 - 34,Condominiums and Other Apartments,490
Clementi,West Coast,30 - 34,Landed Properties,100
Clementi,West Coast,30 - 34,Others,-
Clementi,West Coast,35 - 39,Total,840
Clementi,West Coast,35 - 39,Total HDB^,-
Clementi,West Coast,35 - 39,1- and 2-Room Flats*,-
Clementi,West Coast,35 - 39,3-Room Flats,-
Clementi,West Coast,35 - 39,4-Room Flats,-
Clementi,West Coast,35 - 39,5-Room and Executive Flats,-
Clementi,West Coast,35 - 39,Condominiums and Other Apartments,740
Clementi,West Coast,35 - 39,Landed Properties,100
Clementi,West Coast,35 - 39,Others,-
Clementi,West Coast,40 - 44,Total,1050
Clementi,West Coast,40 - 44,Total HDB^,-
Clementi,West Coast,40 - 44,1- and 2-Room Flats*,-
Clementi,West Coast,40 - 44,3-Room Flats,-
Clementi,West Coast,40 - 44,4-Room Flats,-
Clementi,West Coast,40 - 44,5-Room and Executive Flats,-
Clementi,West Coast,40 - 44,Condominiums and Other Apartments,940
Clementi,West Coast,40 - 44,Landed Properties,110
Clementi,West Coast,40 - 44,Others,-
Clementi,West Coast,45 - 49,Total,1040
Clementi,West Coast,45 - 49,Total HDB^,-
Clementi,West Coast,45 - 49,1- and 2-Room Flats*,-
Clementi,West Coast,45 - 49,3-Room Flats,-
Clementi,West Coast,45 - 49,4-Room Flats,-
Clementi,West Coast,45 - 49,5-Room and Executive Flats,-
Clementi,West Coast,45 - 49,Condominiums and Other Apartments,910
Clementi,West Coast,45 - 49,Landed Properties,130
Clementi,West Coast,45 - 49,Others,-
Clementi,West Coast,50 - 54,Total,830
Clementi,West Coast,50 - 54,Total HDB^,-
Clementi,West Coast,50 - 54,1- and 2-Room Flats*,-
Clementi,West Coast,50 - 54,3-Room Flats,-
Clementi,West Coast,50 - 54,4-Room Flats,-
Clementi,West Coast,50 - 54,5-Room and Executive Flats,-
Clementi,West Coast,50 - 54,Condominiums and Other Apartments,730
Clementi,West Coast,50 - 54,Landed Properties,110
Clementi,West Coast,50 - 54,Others,-
Clementi,West Coast,55 - 59,Total,580
Clementi,West Coast,55 - 59,Total HDB^,-
Clementi,West Coast,55 - 59,1- and 2-Room Flats*,-
Clementi,West Coast,55 - 59,3-Room Flats,-
Clementi,West Coast,55 - 59,4-Room Flats,-
Clementi,West Coast,55 - 59,5-Room and Executive Flats,-
Clementi,West Coast,55 - 59,Condominiums and Other Apartments,500
Clementi,West Coast,55 - 59,Landed Properties,80
Clementi,West Coast,55 - 59,Others,-
Clementi,West Coast,60 - 64,Total,400
Clementi,West Coast,60 - 64,Total HDB^,-
Clementi,West Coast,60 - 64,1- and 2-Room Flats*,-
Clementi,West Coast,60 - 64,3-Room Flats,-
Clementi,West Coast,60 - 64,4-Room Flats,-
Clementi,West Coast,60 - 64,5-Room and Executive Flats,-
Clementi,West Coast,60 - 64,Condominiums and Other Apartments,280
Clementi,West Coast,60 - 64,Landed Properties,120
Clementi,West Coast,60 - 64,Others,-
Clementi,West Coast,65 - 69,Total,330
Clementi,West Coast,65 - 69,Total HDB^,-
Clementi,West Coast,65 - 69,1- and 2-Room Flats*,-
Clementi,West Coast,65 - 69,3-Room Flats,-
Clementi,West Coast,65 - 69,4-Room Flats,-
Clementi,West Coast,65 - 69,5-Room and Executive Flats,-
Clementi,West Coast,65 - 69,Condominiums and Other Apartments,200
Clementi,West Coast,65 - 69,Landed Properties,130
Clementi,West Coast,65 - 69,Others,-
Clementi,West Coast,70 - 74,Total,320
Clementi,West Coast,70 - 74,Total HDB^,-
Clementi,West Coast,70 - 74,1- and 2-Room Flats*,-
Clementi,West Coast,70 - 74,3-Room Flats,-
Clementi,West Coast,70 - 74,4-Room Flats,-
Clementi,West Coast,70 - 74,5-Room and Executive Flats,-
